"cond" "lambda1" "lambda2" "lambda3" "alpha2" "n" "lv.est.m1" "lv.se.m1" "lv.cill" "lv.ciul" "lv.cov" "lv.cfi.est" "lv.rmsea.m1" "lv.ncp.th" "lv.pow.th" "lv.pow.cal" "anova.1.est" "anova.1.se" "anova.1.cill" "anova.1.ciul" "anova.1.cov" "anova.1.est.th" "anova.1.pow.th" "anova.1.pow.cal" "anova.2.est" "anova.2.se" "anova.2.cill" "anova.2.ciul" "anova.2.cov" "anova.2.est.th" "anova.2.pow.th" "anova.2.pow.cal" "anova.3.est" "anova.3.se" "anova.3.cill" "anova.3.ciul" "anova.3.cov" "anova.3.est.th" "anova.3.pow.th" "anova.3.pow.cal" "sanova.est" "sanova.se" "sanova.cill" "sanova.ciul" "sanova.cov" "sanova.est.th" "sanova.pow.th" "sanova.pow.cal" "manova.est" "manova.se" "manova.cill" "manova.ciul" "manova.cov" "manova.est.th" "manova.pow.th" "manova.pow.cal" "manova.wilks.th" "manova.wilks.cal" "manova.pillai.th" "manova.pillai.cal" "lv.l1.est.m1" "lv.l1.se.m1" "lv.l2.est.m1" "lv.l2.se.m1" "lv.l3.est.m1" "lv.l3.se.m1" "lv.r1.est.m1" "lv.r1.se.m1" "lv.r2.est.m1" "lv.r2.se.m1" "lv.r3.est.m1" "lv.r3.se.m1" "lv.r4.est.m1" "lv.r4.se.m1" "lv.r5.est.m1" "lv.r5.se.m1" "lv.r6.est.m1" "lv.r6.se.m1" "lv.rlv2.est.m1" "lv.rlv2.se.m1" "lv.i1.est.m1" "lv.i1.se.m1" "lv.i2.est.m1" "lv.i2.se.m1" "lv.i3.est.m1" "lv.i3.se.m1" "lv.chi.m1" "lv.iter.m1" "count.conv"
1 0.1 0.1 0.1 0 25 -312067.073567439 1.26878783353906 -66.9774647190559 -62.0039078035377 0.941952506596306 0.630493399022082 0.0210382285249556 0.0000000000000111022302462516 0.0500000000000012 0.0914036996735582 0.0119680253910527 0.290154674583615 -0.556735136792833 0.580671187574939 0.965 0 0.05 0.038 0.00375760717479409 0.29019932408823 -0.565033068038136 0.572548282387724 0.955 0 0.05 0.049 -0.00961918515453105 0.290170614645808 -0.578353589860316 0.559115219551254 0.956 0 0.05 0.046 0.00513294090836035 0.290141686121305 -0.563544763889397 0.573810645706118 0.965 0 0.05 0.038 0.0657875686589401 0.288817166307015 -0.500294077302809 0.631869214620689 1 0 0.0499999999999999 0.046 1 0.940742735526062 0 0.0592572644739379 2.3007068373593 1.15488733562988 0.0989313633566823 1.23409714774425 0.50386016511998 1.55447513233513 -103.063899473884 14.6900948601706 -103.578995514494 14.5675542603892 -83.5502367455551 16.105376882975 -472.258587115042 12.597754439687 -558.038759427205 19.0522467351613 2493.19723476791 22.0238611377111 1224069691328794 17.1111336930993 -0.00258016737161768 0.165359769491888 -0.00384187297922838 0.165889271621702 -0.00300612940505126 0.167021600427968 2.59768457156551 2339.445 0.758
2 0.1 0.1 0.1 0 50 106592730.075623 1.95641246546728 13.3885098861228 21.0575058285649 0.941975308641975 0.612247324514472 0.0136007096174666 0.000000000000377475828372553 0.0500000000000431 0.0996818663838812 0.00842159068218187 0.202556269369294 -0.388588697281635 0.405431878645998 0.96 0 0.0500000000000004 0.043 0.00319864236601013 0.202513000255424 -0.39372683813462 0.40012412286664 0.958 0 0.0500000000000004 0.043 0.00908859044346848 0.202540839763396 -0.387891455492788 0.406068636379725 0.954 0 0.0500000000000004 0.049 0.0118734996625054 0.202538352524965 -0.385101671286427 0.408848670611437 0.958 0 0.0500000000000004 0.044 0.0307086485579683 0.20205076193484 -0.365310844834319 0.426728141950256 1 0 0.0499999999999998 0.042 1 0.970759772911042 0 0.0292402270889578 2.38360563060356 1.43098711485786 0.365291369276044 1.09377862833269 0.211709429042444 0.915517920517674 -80.8254454422881 14.3723296097752 -59.2216926246171 12.485341866462 -71.8493461538454 10.6328413813058 -288.542413347402 17.6641266017048 -390.485418355744 16.166842925735 -771.983983401308 10.7229716646628 999091936422918488184 21.248132931729 -0.00273416297854568 0.120304734051258 -0.00374218813261619 0.117919780625141 -0.00589713701248458 0.119280581926589 2.48878773853656 2115.55 0.81
3 0.1 0.1 0.1 0 75 -8414474.35664107 1.69808003782762 -30.2200282521493 -23.5636768181322 0.948339483394834 0.609817206397971 0.0114572633168672 0.0000000000000999200722162641 0.0500000000000114 0.111226611226611 0.00117677660900391 0.164684010697234 -0.321603884357575 0.323957437575583 0.956 0 0.0500000000000002 0.046 -0.007644486948445 0.164693690837628 -0.330444120990196 0.315155147093306 0.948 0 0.0500000000000002 0.053 -0.00361454164394509 0.164666738220919 -0.326361348556946 0.319132265269056 0.959 0 0.0500000000000002 0.041 -0.00556481898631339 0.164678152776044 -0.32833399842736 0.317204360454733 0.955 0 0.0500000000000002 0.047 0.0209067606565457 0.16440653752943 -0.301330052901137 0.343143574214228 1 0 0.0500000000000005 0.049 1 0.979785592345221 0 0.0202144076547786 1.49686025924003 1.81258339029231 -0.0683176957079628 1.08164758849823 0.867681425115319 1.37623188984492 -58.4946402688199 18.6524326738935 -86.9607567239246 11.9063559151736 -60.1424653214074 12.5214918132147 -320.993193281092 14.2939778598495 -624.493366963182 11.1070994728416 -761.953787667055 15.9547840114835 -57022588823058480 15.1813229710789 -0.000838238707627238 0.0991771603245496 0.00534424800796695 0.0989307616310038 0.00119632508982448 0.0970571154843219 2.53979341843495 2087.159 0.813
4 0.1 0.1 0.1 0 100 -154538.622439021 0.729087891811848 7.03273446995576 9.89070648898667 0.938848920863309 0.602171479951054 0.0103554488982232 0.000000000000799360577730113 0.0500000000000915 0.144820295983087 0.0000171993265383474 0.142326594481435 -0.278942925857075 0.278977324510151 0.939 0 0.0500000000000009 0.062 -0.00388073184474424 0.142331767218278 -0.282850995592569 0.275089531903081 0.935 0 0.0500000000000009 0.065 0.000056983918682932 0.142313262603803 -0.278877010784772 0.278990978622137 0.957 0 0.0500000000000009 0.044 -0.00237233645317879 0.142323172070309 -0.281325753710984 0.276581080804626 0.948 0 0.0500000000000009 0.053 0.0161164857059723 0.142137773055007 -0.262473549481841 0.294706520893786 1 0 0.0499999999999996 0.062 1 0.984308872457884 0 0.0156911275421155 1.58940474741545 1.98710815887515 0.120879762823104 1.00541040931498 0.175147631497059 1.02971281702427 -53.9077096837003 19.4098598485449 -46.4808472594164 9.04183031456277 -55.5754758531124 10.3760661137878 -226.244446686402 16.0639733041907 -2.91002065127877 13.0267316817215 -86.9127585241709 12.5175698575658 -185178041627933 12.6609889785892 -0.000434368975746083 0.0857229278446977 0.00205042633152585 0.0853988414957417 0.00264150921366389 0.0848180170958903 2.56900412576325 1991.823 0.834
5 0.1 0.1 0.1 0 150 -111257.324669367 2.4485331339487 -44.5402929758218 -34.9422194608369 0.95679012345679 0.617889422094652 0.00872151356281731 0.0000000000000666133814775094 0.0500000000000076 0.092901878914405 0.00025172133459146 0.115955527338369 -0.227021112248611 0.227524554917794 0.95 0 0.0500000000000003 0.05 0.00605174156296959 0.115954318595697 -0.221218722884597 0.233322206010536 0.954 0 0.0500000000000003 0.047 0.00222602475249807 0.115950140514744 -0.2250362506564 0.229488300161396 0.958 0 0.0500000000000003 0.042 0.0045947035754554 0.115949918999056 -0.222667137662695 0.231856544813606 0.963 0 0.0500000000000003 0.037 0.0100611596050622 0.115858089648445 -0.21702069610589 0.237143015316015 1 0 0.0499999999999998 0.041 1 0.990099933588024 0 0.00990006641197648 1.64368759568251 1.57565305471761 0.0701451737125911 1.75372219110628 -0.0603221061031824 1.10345945831236 -41.1467584186215 15.1924922585669 -47.7830352690458 18.6240448970896 -45.1448505885785 9.79788650148107 -335.259088225552 14.0891558158476 -600.569978235127 21.2565535859282 -615.179699355416 12.1428877798087 -47236802335839.8 28.1672010808958 0.00237739399141669 0.0698183673607757 -0.00528094605244021 0.0695739987233141 -0.00201005042513197 0.0696467962226538 2.59295131332414 2183.219 0.81
6 0.1 0.1 0.1 0 200 -1930.01765154144 1.31564991836232 2.83583438293274 7.99308729543912 0.950433705080545 0.587088823186966 0.00781733666386874 0 0.0499999999999999 0.0965005302226935 -0.00341407386536635 0.100313531951168 -0.200028596489656 0.193200448758923 0.95 0 0.0500000000000012 0.05 0.00119892194100248 0.10031045198161 -0.195409563942954 0.197807407824959 0.962 0 0.0500000000000012 0.039 -0.00135677756286236 0.100311449484195 -0.197967218551884 0.195253663426159 0.959 0 0.0500000000000012 0.041 -0.00200904290215009 0.100313126998747 -0.198622771819693 0.194604686015393 0.955 0 0.0500000000000012 0.045 0.00733179474785068 0.100251504479949 -0.18916115403285 0.203824743528552 1 0 0.0500000000000005 0.037 1 0.992756096682277 0 0.00724390331772271 1.86267337429382 1.35665971360937 0.030790059248447 0.870368202999873 0.204821329929963 0.826539264572832 -46.3059249569711 16.0520584628535 -46.419742404367 9.42998404520297 -31.0826704597905 8.25842448889068 -336.815768709246 13.3820533094162 -28.1376725241346 9.56641959484483 -554.190525693222 8.72648228558496 -119628579395.153 27.4586254027438 0.000146471251652343 0.061128948435832 -0.00354026922942087 0.0596883009090282 -0.00122537655505432 0.0594687128166513 2.58601493884028 2231.444 0.807
7 0.1 0.1 0.1 0 250 84404.75907624 4.3920462458596 69.7960776951123 87.0125826157508 0.942238267148014 0.583507831505951 0.00685813192213368 0 0.0499999999999999 0.0908130939809926 0.00530660065956448 0.0896679003812159 -0.170442484087619 0.181055685406748 0.943 0 0.0499999999999998 0.058 0.00020602215873489 0.089667162958949 -0.175541617240805 0.175953661558275 0.947 0 0.0499999999999998 0.053 -0.0059249629440663 0.0896668180113224 -0.181671926246258 0.169822000358126 0.953 0 0.0499999999999998 0.048 -0.000258882490741589 0.0896674842393289 -0.176007151599826 0.175489386618343 0.958 0 0.0499999999999998 0.043 0.00607110040504753 0.0896224814337683 -0.169588963205138 0.181731164015233 1 0 0.0500000000000007 0.053 1 0.993988285854798 0 0.00601171414520198 2.08587373843181 1.17837455999838 0.369573801400397 1.24102617240888 0.144462234817855 1.48056142099473 -37.6132778059028 12.935341202531 -40.3346885509959 11.6125785407512 -29.0795267177435 12.9432702706037 -266.566023858517 18.3775012513419 -704.367188965998 11.1249600802898 -734.095452082495 14.1289691608134 -49218792800319.9 23.0573605272179 -0.00362116432653895 0.0547438849036831 0.000545378622484251 0.0538979481931974 -0.000948766642611672 0.0534127188623205 2.57267883762976 2111.616 0.831
8 0.1 0.1 0.1 0 300 4332083.52618725 3.00537094628058 -106.649368722869 -94.8685310930828 0.947494033412888 0.592750070588402 0.00763461736009581 0.000000000000133226762955019 0.0500000000000151 0.0961945031712474 -0.000623597313014004 0.081819612576557 -0.160990037963066 0.159742843337038 0.952 0 0.0499999999999996 0.049 -0.00000931683332441554 0.0818190380738525 -0.160374631458075 0.160355997791426 0.956 0 0.0499999999999996 0.044 -0.0000277332179395364 0.0818232330376534 -0.16040126997174 0.160345803535861 0.945 0 0.0499999999999996 0.055 -0.000396703542868648 0.0818199339519041 -0.160763774088601 0.159970367002863 0.953 0 0.0499999999999996 0.047 0.00510653503430671 0.0817863016831508 -0.155194616264669 0.165407686333282 1 0 0.0500000000000015 0.053 1 0.994935815244174 0 0.00506418475582596 1.50984107794003 0.802606075993794 0.206581404872375 1.39706075335968 0.390134881134056 1.37669243613822 -30.5403467769088 9.89074488910696 -29.1720203447493 11.0752256422314 -33.767647774295 12.1668434291287 -385.396880720644 12.3765269027572 -189.976535910857 16.3331185200032 -149.313273659875 13.0860727986855 -7224889272244460 24.317803606465 -0.0000754393568556093 0.0495237355179928 -0.00148833676262147 0.0486458771272913 -0.0015096894255976 0.0493647271210248 2.79109767103438 2122.961 0.838
9 0.1 0.1 0.1 0 400 7957529.32134504 0.834657371859562 -53.517370064389 -50.2455732878376 0.939877300613497 0.575031548060251 0.00598396979633791 0.00000000000035527136788005 0.0500000000000407 0.0913811007268951 -0.001573300613835 0.0708206868105196 -0.140381846762453 0.137235245534783 0.955 0 0.05 0.046 0.000658041855084298 0.0708209450181565 -0.138151010380502 0.139467094090671 0.959 0 0.05 0.041 0.000939495701601728 0.0708221890698517 -0.137871994875308 0.139750986278511 0.948 0 0.05 0.052 -0.0000780522001174955 0.0708213309816054 -0.138887860924064 0.138731756523829 0.953 0 0.05 0.047 0.00375174721971283 0.0707993358516652 -0.135014951049551 0.142518445488977 1 0 0.0499999999999998 0.046 1 0.996271343761439 0 0.00372865623856124 1.69405020611514 1.65034447439891 0.465720501583113 1.07731555623211 0.172839348031731 1.44506467520982 -30.1117394761088 15.5856594908612 -31.2961617193145 10.2360205756787 -24.0231331241139 11.6817306942517 -270.248966083994 15.7261853023082 -120.09931980107 12.6682219610743 -451.069809640056 11.6263944587034 648525321748678272 19.3156314171165 0.000632240473168964 0.0429417491932752 -0.000421206160707357 0.0424323552380923 -0.000772940006872115 0.042450178361532 2.68985433117114 2245.366 0.815
10 0.1 0.1 0.1 0 500 -516823.637921427 1.80330785151652 226.452589868641 233.521426752661 0.933174224343675 0.607854897320352 0.00489327768731144 0 0.0499999999999999 0.109717868338558 0.00194414339030419 0.0633248601874 -0.122172582577 0.126060869357608 0.954 0 0.0499999999999997 0.046 -0.001742495738127 0.0633236353084222 -0.125856820942635 0.122371829466381 0.952 0 0.0499999999999997 0.048 -0.00304237189220278 0.0633243360025526 -0.127158070457206 0.1210733266728 0.957 0 0.0499999999999997 0.044 -0.00159851819463958 0.0633245857031141 -0.125714706172743 0.122517669783464 0.952 0 0.0499999999999997 0.048 0.00292255522992037 0.0633089524180103 -0.12116299150938 0.127008101969221 1 0 0.0499999999999982 0.051 1 0.997092127642428 0 0.00290787235757214 1.43752152492756 1.39724370722755 0.228574054081746 0.740382422885248 0.292681036987754 1.38248517530652 -27.8571957945216 13.0317848393487 -20.0752950836168 7.08247223592368 -33.7765079601273 10.8452227246307 -164.849226134064 12.1751034523862 -144.361923430059 8.65517992414108 -386.194011463747 14.9773491259483 1696946642081959 12.9551721468377 0.000253910685447233 0.0384107069267628 0.000486819880025497 0.0379051959084743 0.000331826905926364 0.0382293052323471 2.63081684519145 2090.672 0.838
